Research Title,Author,Abstract,University (Abbreviation),Campus
Laying performance of Japanese quail fed with portulaca as feed supplement,"Maglaya, Medilyne B.;Marilag, Mary Rose","This study aimed to determine which level of portulaca would give a better laying performance of quail in terms of egg production, feed consumption, feed conversion efficiency (FCE), feed conversion ratio (FCR), and also to find out the economics of using portulaca as feed additives in terms of return on investment.
Two hundred forty (240) heads of 25 days old pullet quails were randomly distributed into four treatments as follows: To- Control (commercial feeds); T1 – 5% portulaca + commercial feeds; T2 - 10% portulaca +commercial feed; T3 -15% portulaca + commercial feed
The result of this study revealed that in terms there were no significant differences among treatment in terms of egg production, egg weight, feed conversion efficiency (FCE), feed conversion ratio (FCR), and Return on investment. But in terms of feed consumption, treatment 3 (21% portulaca + commerlcial feed) has a significant result among treatments. In terms of return on investment treatment 1 – pure commercial feeds + 5% Portulaca had the highest computed return on investment of 40%. 
",ASIST,Main
The Impact of a Gamified Reviewer on Alternative Learning System Learners,"Trinidad, Joventino T. Jr.;Talingdan, Janelyn A.","With the proliferation of technology-based edutainment among the young generation, it is very timely to employ a trending technique in learning called gamification. Education is precisely one of the main fields that could benefit from this trend. This study is an assessment of the impact of a developed gamified reviewer on Alternative Learning System (ALS) learners. Printed Accreditation and Equivalency test reviewers were used as input in the creation of a framework for and adopted the ADDIE model in the development of a gamified reviewer. It is a Windows-based application for ALS learners and facilitators to reinforce engagement, enjoyment and learning among learners in preparation for the Accreditation and Equivalency test. The respondents perceived the gamified reviewer as excellent with a System Usability Scale (SUS) score of 82.12 and they strongly agreed that it is highly engaging, enjoying and learnable. The results show that this particular implementation of gamification to improve learning has beneficial impact.",ASIST,Main
Impact of Mobile Phone Usage on the Academic Performance of the Senior High School Academic Track Students of ASIST Bangued Campus,"Buenafe, Cristina J.;Buenafe, John Paul B.;Zales, Jonathan P.","This study determined the level of mobile phone usage and factors affecting the level of academic performance of the Senior High Academic track students of ASIST S.Y. 2017-2018. 
Descriptive –correlational research methods were employed to determine the profile and level of mobile phone usage and level of academic performance. Subsequently, the relationship of profile and level of mobile phone usage to the academic performance was examined.
Two – hundred forty (240) senior high academic track students of the ASIST Bangued Campus Laboratory High School for the Academic Year 2017-2018 were used as the respondents of the study. Random sampling is employed in determining the total number of population using the Slovins Formula.
The researcher made profile questionnaire and the Mobile Phone Usage checklist which consists of 20 item indicators were utilized in gathering the necessary data of the study. 
Below are the salient findings of the study: There were more females with 60% or 144 out of the 240 total population than males which is composed of 96 or 40% of the total population. Majority of fathers’ respondents were carpenters with a frequency of 75 or 31. 25%, followed by Self-employed and OFW with the frequency of 59 or 24.58% and 49 or 20.42% of the population respectively. Most mothers’ occupation of the respondents was Vendor, Self Employed and house wife with the frequency of 48, 47, and 45 respectively thus representing two thirds of the total population. Majority of student respondents spend 3-4 hours a day using their mobile phones with a frequency of 61 or 25.42%. Respondents showed a very satisfactory level of performance with a mean rating of 86.54% The level of mobile phone usage of the student respondents was categorized as “Often” with an interpretation of High Level of Use with the mean rating of 3.42. There is a significant relationship between the profiles along Mothers Occupation and Frequency of Use to the Academic Performance of the student respondents while the profiles along Sex and Fathers’ Occupation to the Academic Performance of the student respondent are found to be insignificant. There is significant relationship between the Level of Mobile phone usage and the Academic Performance of the student respondents. 
Based from the salient findings of the study, the flowing conclusions were drawn: Most of the respondents were females. Majority of the father parent occupations were carpenter, Self-employed and OFW while mother parent occupations were Vendor, Self-employed and Housewife. Student respondents spend 3-4 hours a day using their mobile phones. The student respondents have an above average level of academic performance. The level of mobile phone usage of the respondents is “High’. Mothers Occupation and Frequency of mobile phone usage is directly affecting the student respondent’s level of Academic Performance brought about by the type of occupation of most mother parents and the high frequency of mobile phone usage of the student respondents. While, other profile does not meddle to their level of academic achievement. Mobile phone usage directly has a positive impact on their level of academic performance. 
",ASIST,Bangued
"Level of Awareness and Satisfaction on various LGU services of the municipality of Dolores, Abra","Quileza, Rhea A.;Paderes, Nero S.;Abalos, Michael Vene S.;Atmosfera, Rynheart P.;Cabael, Ruby Mae P.","The Republic of the Philippines saw the need to satisfy the citizens in its basic services in order to maximize the development of basic human conditions so as to make the citizens more active in their participation in economic and civil life. LGUs in the Philippines, under the Local Government Code of 1991 are mandated to provide basic services that are responsive to the needs of their citizens. This intensely describes the potent and central role of local governments in propelling and ushering in local economic and social development in the communities geared towards the awareness and satisfaction of their respective citizens.
 This context provides the reason for the interest of the researchers to develop and conduct a survey for gauging citizen satisfaction that can be used for agenda-setting of economic and human development plans and goals of LGUs. 
The study focused on identifying the levels of awareness and satisfaction of the citizens of the Municipality of Dolores, Abra and in determining the level of awareness and satisfaction of citizens towards the improvement of basic services in the LGUs.
The respondents of the study were equally divided into male and female.  Majority of the respondents were household heads, married, at least high school degree, average income of ₱8,852.00 per month, and working within the barangay as farmers.
As a result of the study, on health, many of the respondents claim that their household members got sick within the year which majority claims as influenza and associated symptoms – coughs and colds.  Majority also consulted medical personnel during such illnesses.  Majority of those who sought consultation visited the Rural Health Unit of Dolores. The profile reveals the important role of the Rural Health Unit in providing quality health care delivery. 
For Support to Education, majority of the respondents claimed that children who are members of the household go dominantly to public elementary schools. 
In terms of the Peace and Order program of Dolores under the Governance and Response Services, almost one-third of the respondents have knowledge on any crime committed in the municipality such as murder/homicide/parricide, drug trafficking, mauling/physical injury, rape, robbery, and destruction of property. 
Further, majority of the respondents have experienced a disaster/calamity during the past twelve months. Almost all the respondents claimed that the worst disaster/calamity that their community have experienced is a typhoon.
 For Environmental Management, it was revealed that burying the waste is a common practice of households. Segregation of waste is also being practiced by the citizens of Dolores. In terms of awareness, the topmost is Environmental Management followed by Health Services and Public Works and Infrastructure.  
In terms of satisfaction, all service areas are marked as “high” satisfaction.  Out of the fifty-three (53) sub-indicators, special focus through a sound and massive IEC Program for the following indicators can increase awareness of services
",ASIST,Main
Growth and Yield Response of Eggplant (Solanum melongena) using varied TCP3 Seedling,"Galiday, Jane S.;Pagluanan, Eusebia R.;Jaquias, Elsen Berg Q.","This research study conducted to be used by the people in their production. TCP3 seedling media was an adopted technology from PhilRice Batac, Ilocos Norte to Lagangilang, Abra. It is a joint project of PhilRice and JICA to promote nourished seedling especially in solanaeceous and cucurbits. The study was conducted to encourage farmers to engage in organic farming in the locality. This technology enable farmers who are interested to engage in farming and production to have a nourished seedling for better yield and higher profit.
The study was conducted to determine which among the TCP3 seedling media would give the highest yield, to find out the effect of TCP3 seedling media on the growth and yield of eggplants and to determine the profitability of eggplant production. It was conducted in Lagben, Lagangilang, Abra from December 5, 2017 to March 28, 2018 with a total area of 200.64 sq.m
 The research design used in the study was RCBD, with four blocks and four treatments. The different treatments were: 
T0 – control (garden soil)
T1 - 4 parts CRH, 2 parts Compost and 1 part Vermicompost
T2 - 2parts CRH, 2 parts Compost and 1 part Vermicompost
T3 - 1parts CRH, 1 parts Compost and 1 part Vermicompost.
 The result of the study shows that the proportion of TCP3 seedling media 4 parts CRH, 2 parts Compost and 1 part Vermicompost had highly significant effect on the weekly growth increment, number of days to flower, number of fruits per week, length of fruit, number of marketable fruits, weight of marketable fruits and yield per treatment. There was significant effects on the initial height. There were no significant differences observed on the percentage germination, number of leaves of the seedling, number of flowers per week, percentage of fruit set, diameter of the fruits, number of non marketable fruits and weight of non marketable fruits.
 The result also implies that the proportion of varied TCP3 seedling media using 4 parts CRH, 2 parts Compost and 1 part Vermicompost registered the most profitable among the other treatments applied with other proportion based on the computed Return on Investment.
",ASIST,Main
Radish extract application as insect pest control of watermelon,"Turqueza, Maria S.","Watermelon is very susceptible to pest and diseases especially aphid’s proper cultural management practices on pest and diseases shall be explored in order to obtain high yield, thus, the study was conducted to evaluate the efficacy of radish extract in controlling insect pest in watermelon. Specifically, this study aimed to determine; best mode and rate of application of radish extract in the control of pest in watermelon; Interaction effects between mode and rate of application of radish extract in controlling insect pest in watermelon; Evaluate the sugar content of watermelon, Profitability of radish extract as pesticide control in watermelon 
 The research study was laid out following a Factorial Randomized Complete Block Design (FRCBD) with three replications.  Analysis of variance (ANOVA) was used and further test Scheffe Test was done for significant results.  The total land area was divided into three blocks representing replication. Each block was further subdivided into five plots representing the different treatments. Main plot was Factor A which consist the mode of applications while the sub-plot or Factor B were the various rate of radish extract, main- plot: Mode of Application (M) M1- Drenching  M2- Spraying, Sub-plot: Rate of Radish Extract (R) R0 – no application, R1 – 250 ml per 16 L of water, R2 – 300 ml per 16 L of water was used.
  Based from the results of the study on the growth of watermelon drenching and spraying as a mode of application for insect pest control can be used. The use of high concentration of radish extract 350 ml mixed with 16 liters of water can be used as pest control, as this comparable to Actara a commercial insecticide. For sweeter watermelon and high yield, used 300 ml radish extract mixed with 16 liters of water.
   It is recommended that higher concentration of radish extract should be explored for its potential as insect pest control.  and the application of radish extract as insect pest control should also be used to other cucurbits to explore its effectiveness. To prove the reliability of the results similar study shall be conducted to explore the potential of radish extract for the control of insect pest.
",ASIST,Main
Constructing The Good Teacher: Exploring ASIST Student Beliefs On An Effective Teacher,"Paderes, Nero M.","The influence that teachers have on learners’ achievements is unquestionable. Learners’ beliefs and perspectives are also considered as a determining factor in their academic achievements. Students from various colleges in ASIST Lagangilang Main Campus participated in this study. The participants’ perception of their teachers in different aspects, such as Characteristics and Student experiences was investigated. The findings revealed that teaching skills or content knowledge were viewed, by learners, as the most influential characteristic of a teacher. High Expectations and Building Relationships of a teacher were ranked second and third accordingly. The results of the study had certain implications for teachers and teacher educators.",ASIST,Main
Classifying Soil Texture Using Transfer Learning,"Guidang, Excel Philip B.","Transfer learning is a machine learning technique which makes use of a pre-trained neural network to classify new objects. This study was conducted to evaluate the performance of Inception-v3 in classifying Soil texture. Specifically it achieved the following objectives 1) Identified the features of Inception-v3 and 2) Classified Soil Texture Inception-v3. The study used literature review to identify the features of Inception-v3. The study found that Transfer Learning comprises of two portions: a) feature mining and b) classification. Moreover, Inception-v3 highest prediction rating of a Soil texture image was 98% and 86% as the lowest. The study concludes that Transfer Learning method through the use of Inception-v3 can be used to classify Soil texture.",ASIST,Main
MAKARUARAK TI LET: Bridging the Gaps Towards Successful Examination,"Balmaceda, Lemyrose B.","To be of significance to nation building, a prospective teacher needs to pass the licensure examination for teachers prescribed by law under RA 7836, the “Philippine Professionalization Act of 1994’. In line with this, the Abra State Institute of Sciences and Technology is undertaking efforts in delivering quality education to improve the LET rating result of the college. This study utilized a self-constructed questionnaire to Third year BSEd for the SY 2018-2019. Data gathered were analyzed using general qualitative analyses techniques. Findings show that the respondents prepare themselves for the examinations, although some have lesser preparation due to work and livelihood. Only few practice helpful techniques in taking the test, some are not careful with test directions and test item analysis. Student engagement is low. Teachers did not fail to make necessary examination preparations and feedback. The respondents expect their teachers to closely monitor students during examinations and strictly follow test protocol in its highest standards. This increase students’ engagement thereby increasing their academic performance resulting to a favorable outcome in the LET.",ASIST,Bangued
Science Cognitive Skills and Learning Styles of STEM 11 Students of Abra State Institute of Sciences and Technology,"Fabito, Robinson Q.","This study was conducted to assess the science cognitive skills and learning styles of the Grade 11 STEM students of Abra state Institute of Scieces and Technology, particularly in the Bangued Campus. It described if significant relationship exist between students’ profile and their science cognitive skills. Also, it aimed describe if significant differences exist between their cognitive skills when grouped according to their learning styles. Descriptive method of investigation was applied in this research. An instrument was adapted from Salandan (2013) to determine students’ profile along home environment, learned intelligence and background knowledge, and motivation.  Respondents learning style was determined through the use of a tool adapted from Armstrong (2013) and their science cognitive skills were measured through the use of an instrument adapted from Franco (2017). The data gathered were analyzed using weighted mean, frequency count and percentage, bivariate analysis, analysis of variance (ANOVA), and scheffe test.
Based from the findings of the study, it is concluded therefore that the Grade 11 STEM students have a good home environment, learned intelligence and background knowledge, and motivation. Majority of them are visual learners and have a satisfactory level of cognitive skills in Science. Student-related factors influence the respondents’ cognitive skills in science. Generally, Grade 11 STEM students have no differences in their cognitive skills in science when grouped according to their learning style. However, when take singly; the three groups of learners according to learning style differ in “Analysis” as thinking skill.
From the conclusions, it is recommended that parental involvement to students’ school works is encouraged to continue improve their cognitive skills and as a responsible student as a whole. Since visual learners process information according to how they see, the use of  computer graphics and cartoons, graphs, maps, charts, and graphic organizers  are ways to keep them engaged in learning. Teachers must continue helping students improve their cognitive skills in science by considering varied factors that may include teaching methodologies and techniques, students’ individual differences, and their learning styles. Science cognitive skills of students must be assessed or evaluated quarterly or as needed to monitor their learning and that instant remediation can be done by teachers for the improvement of their school performance. And lastly, a follow up study is recommended not only to the Grade 11 STEM students but to all senior high school of the Abra State Institute of Sciences and Technology.
",ASIST,Bangued
An Analysis of the Learning Plans of the Secondary Education Pre-Sevice Teachers,"Talledo, Maria Rebecca B.","The study focused on the analysis of the learning plans of the Bachelor of Secondary Education Pre - sevrice Teachers.  The analysis was centered on its basic elements, the possible integration of more contemporary teaching pedagogies and approaches that involve acquisition of higher order thinking skills necessary for future teachers.  The analysis used three stages namely; look within where learning plans were evaluated according to its parts, look beyond where researcher identified interrelationships between the varied activities and the teaching pedagogies and approaches, and the last stage look into allowed the researcher to connect roles of the college and cooperating schools in training and preparing the students to real life teaching field.  The study utilized 20 crafted learning plans which were executed during the pre - demonstration and final demonstration teaching of the pre - service teachers.  The study made use of qualitative design of study.  It was found out in the study that the learning plans followed the content and performance standards prescribed by the K+12 curriculum.  The researcher has identified three phases in the execution of the lesson which are the exploration, hook - up and transfer phases.  Contemprary teaching pedagogies and approaches that strengthen and intensify the higher order thinking skills of the students were determined and these are contextual, reflective, inquiry - based, collaborative and knowledge construction learning approaches.  Such implies that integration of theory and practice are vital in the training and preparation of the pre - serbice teachers to the teaching field.  Hence, practice teaching is a shared process done by both the college and the cooperating school stakeholders.",ASIST,Main
